char	codepoint	block	sources
䯞	u+4bde	CJK Unified Ideographs Extension A	ghou_lim_1983
䴊	u+4d0a	CJK Unified Ideographs Extension A	ghou_lim_1983
䶕	u+4d95	CJK Unified Ideographs Extension A	li_lim_1992
凞	u+fa15	CJK Compatibility Ideographs	li_1959
𠁞	u+2005e	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959;lim_1997
𠏮	u+203ee	CJK Unified Ideographs Extension B	li_1959;li_lim_1992;lim_1997
𠓗	u+204d7	CJK Unified Ideographs Extension B	lim_1997
𠕇	u+20547	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959;lim_1997
𠛪	u+206ea	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𠜙	u+20719	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𠜱	u+20731	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𠞭	u+207ad	CJK Unified Ideographs Extension B	lim_1997
𠠍	u+2080d	CJK Unified Ideographs Extension B	li_lim_1992
𠠏	u+2080f	CJK Unified Ideographs Extension B	lim_1997
𠠝	u+2081d	CJK Unified Ideographs Extension B	li_lim_1992
𠡒	u+20852	CJK Unified Ideographs Extension B	li_1959;li_lim_1992;lim_1997
𠢕	u+20895	CJK Unified Ideographs Extension B	li_lim_1992
𠥜	u+2095c	CJK Unified Ideographs Extension B	li_lim_1992
𠮾	u+20bbe	CJK Unified Ideographs Extension B	ghou_lim_1983
𠰍	u+20c0d	CJK Unified Ideographs Extension B	li_1959
𠱀	u+20c40	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997
𠱃	u+20c43	CJK Unified Ideographs Extension B	li_1959
𠶧	u+20da7	CJK Unified Ideographs Extension B	zeng_1991
𠷿	u+20dff	CJK Unified Ideographs Extension B	ghou_lim_1983
𠹛	u+20e5b	CJK Unified Ideographs Extension B	lim_1997
𠹭	u+20e6d	CJK Unified Ideographs Extension B	ghou_lim_1983
𠿓	u+20fd3	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𠿺	u+20ffa	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997
