char	codepoint	block	sources	noto-sans-tc	babelstone-han	i-ming
䜴	u+4734	CJK Unified Ideographs Extension A	li_1959	False	True	True
䝟	u+475f	CJK Unified Ideographs Extension A	lim_1997	False	True	True
䟉	u+47c9	CJK Unified Ideographs Extension A	li_1959	False	False	True
䟕	u+47d5	CJK Unified Ideographs Extension A	ghou_lim_1983	True	True	True
䟹	u+47f9	CJK Unified Ideographs Extension A	li_1959	False	False	True
䠀	u+4800	CJK Unified Ideographs Extension A	ghou_lim_1983	True	True	True
䠚	u+481a	CJK Unified Ideographs Extension A	ghou_lim_1983	False	False	True
䤔	u+4914	CJK Unified Ideographs Extension A	li_1959	False	False	True
䦷	u+49b7	CJK Unified Ideographs Extension A	lim_1997	False	True	False
䧹	u+49f9	CJK Unified Ideographs Extension A	li_lim_1992	False	True	True
䩺	u+4a7a	CJK Unified Ideographs Extension A	ghou_lim_1983	False	True	True
䬲	u+4b32	CJK Unified Ideographs Extension A	ghou_lim_1983	False	True	True
䭔	u+4b54	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	False	True	True
䭕	u+4b55	CJK Unified Ideographs Extension A	li_lim_1992	False	True	True
䭮	u+4b6e	CJK Unified Ideographs Extension A	zeng_1991	False	True	True
䯞	u+4bde	CJK Unified Ideographs Extension A	ghou_lim_1983	False	False	True
䴊	u+4d0a	CJK Unified Ideographs Extension A	ghou_lim_1983	False	True	True
䶕	u+4d95	CJK Unified Ideographs Extension A	li_lim_1992	False	True	True
凞	u+fa15	CJK Compatibility Ideographs	li_1959	False	True	True
𠁞	u+2005e	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959;lim_1997	False	True	True
𠏮	u+203ee	CJK Unified Ideographs Extension B	li_1959;li_lim_1992;lim_1997	False	True	True
𠓗	u+204d7	CJK Unified Ideographs Extension B	lim_1997	True	True	True
𠕇	u+20547	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959;lim_1997	True	True	True
𠛪	u+206ea	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	False	True
𠜙	u+20719	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	False	True
𠜱	u+20731	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	True	True	True
𠞭	u+207ad	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𠠍	u+2080d	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𠠏	u+2080f	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𠠝	u+2081d	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𠡒	u+20852	CJK Unified Ideographs Extension B	li_1959;li_lim_1992;lim_1997	False	True	True
𠢕	u+20895	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𠥜	u+2095c	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𠮾	u+20bbe	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𠰍	u+20c0d	CJK Unified Ideographs Extension B	li_1959	True	True	True
